SKU,MASP,TENSP,MOTA,NCC,GIA,GIAMGIA,ISACTIVE,KHOITAO
,,Adidas UltraBoost,"Đệm giày mềm mại, mang lại cảm giác thoải mái cả ngày.",ADIDAS,1800000,1500000,,
,,Adidas NMD,"Giày thời trang trẻ trung, phù hợp đi học và đi chơi.",ADIDAS,2000000,,,
,,Adidas Predator,"Giày bóng đá thiết kế chuyên dụng, bám sân tốt.",ADIDAS,1700000,1500000,,
,,Adidas Stan Smith,"Phong cách cổ điển, dễ phối đồ và lịch sự.",ADIDAS,1500000,,,
,,Adidas Superstar,"Giày thể thao đơn giản, nhẹ nhàng cho hoạt động hằng ngày.",ADIDAS,1300000,,,
,,Adidas Gazelle,"Thiết kế thể thao năng động, phù hợp mọi độ tuổi.",ADIDAS,1600000,,,
,,Adidas Samba,"Giày thể thao cổ điển, phối màu basic sang trọng.",ADIDAS,1400000,,,
,,Adidas EQT,"Phong cách thể thao đường phố hiện đại, cá tính.",ADIDAS,2200000,1500000,,
,,Adidas Yeezy,"Giày thời trang nổi bật, thu hút mọi ánh nhìn.",ADIDAS,4000000,,,
,,Adidas Pureboost,"Giày chạy bộ êm ái, hỗ trợ chuyển động linh hoạt.",ADIDAS,2100000,,,
,,Jordan 1,"Thiết kế thể thao cổ điển, form ôm chân chắc chắn.",JORDAN,3000000,,,
,,Jordan 3,"Giày thể thao cao cấp, chất liệu bền đẹp.",JORDAN,3200000,,,
,,Jordan 4,Giày chuyên dụng dành cho bóng rổ cường độ cao.,JORDAN,3500000,,,
,,Jordan 6,Thiết kế cho vận động viên chuyên nghiệp.,JORDAN,4000000,,,
,,Jordan 11,"Giày bóng rổ chuyên nghiệp, hỗ trợ bật nhảy tốt.",JORDAN,4500000,,,
,,Jordan 12,"Phong cách thể thao hiện đại, đậm chất cá nhân.",JORDAN,3800000,1500000,,
,,Jordan 13,"Giày thể thao nổi bật, phù hợp môi trường năng động.",JORDAN,3900000,,,
,,Jordan 14,"Chất liệu cao cấp, hỗ trợ vận động chuyên sâu.",JORDAN,4300000,,,
,,Jordan 23,"Giày thể thao cao cấp, bền chắc và êm chân.",JORDAN,5000000,,,
,,Jordan 33,"Giày bóng rổ đỉnh cao, hỗ trợ thi đấu hiệu quả.",JORDAN,5500000,,,
,,Nike Air Max,"Thiết kế thoải mái, phù hợp sử dụng cả ngày.",NIKE,1500000,,,
,,Nike React Element,"Giày chạy nhẹ và bền, phù hợp tập luyện ngoài trời.",NIKE,2000000,1500000,,
,,Nike Air Force 1,"Phong cách cổ điển, đơn giản mà tinh tế.",NIKE,1800000,,,
,,Nike Zoom Freak 1,"Giày thi đấu bóng rổ, hỗ trợ bật nhảy và bám sàn.",NIKE,2200000,,,
,,Nike Cortez,"Giày thời trang nhẹ nhàng, nữ tính.",NIKE,1400000,,,
,,Nike SB Dunk,"Giày thể thao thiết kế năng động, dễ phối đồ.",NIKE,2400000,,,
,,Nike Air Zoom Pegasus,Giày chạy bộ phù hợp luyện tập hằng ngày.,NIKE,1700000,,,
,,Nike Blazer Mid,"Giày thể thao cổ cao, bảo vệ cổ chân khi di chuyển.",NIKE,1600000,,,
,,Nike Vapormax,Giày chạy bộ với đệm khí giảm chấn hiệu quả.,NIKE,2500000,,,
,,Nike Free RN,"Giày chạy nhẹ, tạo sự thoải mái khi vận động.",NIKE,1600000,,,
,,Puma Clyde,"Phong cách retro cá tính, mang chất cổ điển.",PUMA,1600000,,,
,,Puma RS-X,"Thiết kế thể thao thời trang, đậm phong cách riêng.",PUMA,1800000,1500000,,
,,Puma Future Rider,"Giày thể thao cổ điển, phù hợp mọi dịp.",PUMA,1700000,,,
,,Puma Basket Classic,"Phong cách đơn giản, dễ kết hợp trang phục.",PUMA,1600000,,,
,,Puma Cali,"Giày thể thao cổ cao, hỗ trợ vận động mạnh.",PUMA,1900000,1500000,,
,,Puma Ignite,Giày chạy bộ với đệm lót thoải mái.,PUMA,2200000,1500000,,
,,Puma Suede,"Phong cách thể thao đơn giản, năng động.",PUMA,1300000,,,
,,Puma Thunder,"Giày thời trang mạnh mẽ, dành cho phái nam.",PUMA,2500000,,,
,,Puma Speedcat,"Giày đua thể thao, tối ưu tốc độ.",PUMA,2100000,,,
,,Puma PWR,"Giày hiệu suất cao, hỗ trợ vận động chuyên nghiệp.",PUMA,2300000,1500000,,
